epoch,avg_val_loss,FID,lr
0,0.6354329586029053,77.67450714111328,0.0005
0,0.6410950422286987,88.60718536376953,0.0005
1,0.4839596152305603,82.86966705322266,0.0005
2,0.3832213282585144,71.59842681884766,0.0005
3,0.28335219621658325,60.71881103515625,0.0005
4,0.2534567415714264,59.602943420410156,0.0005
5,0.2301194965839386,63.01335906982422,0.0005
6,0.2023431360721588,70.9024429321289,0.0005
7,0.19164317846298218,62.19927978515625,0.0005
8,0.18070940673351288,67.42733001708984,0.0005
9,0.15634068846702576,63.04969024658203,0.0005
